"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Multiple predictions within 7 days","4","test_prediction_count_multiple_recent","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestPredictionCount","test_prediction_count","",""
"","4","test_get_unique_labels_last_week","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestLabelsEndpoint","test_labels_endpoint","",""
"","4","test_returns_png_if_requested","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionImage","test_prediction_image","",""
"Prediction exactly 7 days ago should be included","3","test_prediction_exactly_7_days_old","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestPredictionCount","test_prediction_count","",""
"","6","test_get_prediction_success","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","4","test_get_image_not_found","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestGetImageEndpoint","test_get_image","",""
"","1","test_existing_user_correct_password","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestResolveUserId","test_auth","",""
"","5","test_anonymous_user_when_no_credentials","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestResolveUserId","test_auth","",""
"","2","test_existing_user_incorrect_password_raises_401","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestResolveUserId","test_auth","",""
"Predictions older than 7 days shouldn't be counted","5","test_prediction_count_all_old","tests","Tue Aug 19 10:51:42 IDT 2025","passed","Tue Aug 19 10:51:42 IDT 2025","TestPredictionCount","test_prediction_count","",""
